file,classification,action,reason,unique,runtime,status
node_modules/array.prototype.flatmap/CHANGELOG 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.flatmap/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.flatmap/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.flatmap/auto 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.flatmap/implementation 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.flatmap/index 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.flatmap/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.flatmap/polyfill 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.flatmap/shim 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.tosorted/.eslintrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.tosorted/.nycrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.tosorted/CHANGELOG 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.tosorted/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.tosorted/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.tosorted/auto 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.tosorted/implementation 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.tosorted/index 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.tosorted/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.tosorted/polyfill 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/array.prototype.tosorted/shim 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/.editorconfig 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/.eslintrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/.nycrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/CHANGELOG 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/auto 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/implementation 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/index 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/polyfill 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/arraybuffer.prototype.slice/shim 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/assertion-error/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/assertion-error/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/assertion-error/index 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/assertion-error/index.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/assertion-error/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/ast-types-flow/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/ast-types-flow/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/ast-types-flow/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/.eslintrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/.nycrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/CHANGELOG 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/index 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/index 2.mjs,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/index.d 2.mts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/index.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/legacy 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/require 2.mjs,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/async-function/tsconfig 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/autoprefixer/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/autoprefixer/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/autoprefixer/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/available-typed-arrays/.eslintrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/available-typed-arrays/.nycrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/available-typed-arrays/CHANGELOG 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/available-typed-arrays/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/available-typed-arrays/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/available-typed-arrays/index 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/available-typed-arrays/index.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/available-typed-arrays/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/available-typed-arrays/tsconfig 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/axe-core/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/axe-core/LICENSE-3RD-PARTY 2.txt,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/axe-core/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/axe-core/axe 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/axe-core/axe.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/axe-core/axe.min 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/axe-core/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/axe-core/sri-history 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/axobject-query/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/axobject-query/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/axobject-query/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/balanced-match/LICENSE 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/balanced-match/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/balanced-match/index 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/balanced-match/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/binary-extensions/binary-extensions 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/binary-extensions/binary-extensions.json.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/binary-extensions/index 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/binary-extensions/index.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/binary-extensions/license 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/binary-extensions/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/binary-extensions/readme 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/braces/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/braces/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/braces/index 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/braces/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/cac/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/cac/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/cac/index-compat 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/cac/mod 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/cac/mod 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/cac/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/.eslintrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/.nycrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/CHANGELOG 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/actualApply 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/actualApply.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/applyBind 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/applyBind.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/functionApply 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/functionApply.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/functionCall 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/functionCall.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/index 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/index.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/reflectApply 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/reflectApply.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind-apply-helpers/tsconfig 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind/.eslintignore 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind/.eslintrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind/.nycrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind/CHANGELOG 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind/callBound 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind/index 2.js,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bind/package 2.json,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bound/.eslintrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/call-bound/.nycrc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
